Field Name,Field Title,Alt Piece Names,Classic Type,Data Type,Definition,Description,Notes,Index Field
whoMasked,,DESIGN-WHO-MASKED,TEXT,enum WhoMasked[] (stats),Masking,,,protocolSection.designModule.designInfo.maskingInfo.whoMasked
DesignWhoMasked,,,,,,,,/Study/ProtocolSection/DesignModule/DesignInfo/DesignMaskingInfo/DesignWhoMaskedList/DesignWhoMasked
numDesignWhoMaskeds ✗,,,FUNC NOccrs(DesignWhoMasked),short (stats),,,,protocolSection.designModule.designInfo.maskingInfo.numDesignWhoMaskeds
NumDesignWhoMaskeds,,,,,,,,/Study/ProtocolSection/DesignModule/DesignInfo/DesignMaskingInfo/NumDesignWhoMaskeds
bioSpec,,,STRUCT,BioSpec,,,,protocolSection.designModule.bioSpec
BioSpec,,,,,,,,/Study/ProtocolSection/DesignModule/BioSpec
retention,,BIOSPECIMEN-RETENTION,TEXT,enum BioSpecRetention (stats),Biospecimen Retention,,,protocolSection.designModule.bioSpec.retention
BioSpecRetention,,,,,,,,/Study/ProtocolSection/DesignModule/BioSpec/BioSpecRetention
description,,BIOSPECIMEN-DESCRIPTION,MARKUP,markup ✓ (stats),Biospecimen Description,,,protocolSection.designModule.bioSpec.description
BioSpecDescription,,,,,,,,/Study/ProtocolSection/DesignModule/BioSpec/BioSpecDescription
enrollmentInfo,,,STRUCT,EnrollmentInfo,,,,protocolSection.designModule.enrollmentInfo
EnrollmentInfo,,,,,,,,/Study/ProtocolSection/DesignModule/EnrollmentInfo
count,,ENROLLMENT,NUMERIC,integer (stats),Enrollment,,,protocolSection.designModule.enrollmentInfo.count
EnrollmentCount,,,,,,,,/Study/ProtocolSection/DesignModule/EnrollmentInfo/EnrollmentCount
type,,,TEXT,enum EnrollmentType (stats),Enrollment,,,protocolSection.designModule.enrollmentInfo.type
EnrollmentType,,,,,,,,/Study/ProtocolSection/DesignModule/EnrollmentInfo/EnrollmentType
armsInterventionsModule,,,STRUCT,ArmsInterventionsModule,"Arms, Groups, and Interventions",,,protocolSection.armsInterventionsModule
ArmsInterventionsModule,,,,,,,,/Study/ProtocolSection/ArmsInterventionsModule
armGroups,,,STRUCT,ArmGroup[],Arm Information,,,protocolSection.armsInterventionsModule.armGroups
ArmGroup,,,,,,,,/Study/ProtocolSection/ArmsInterventionsModule/ArmGroupList/ArmGroup
label,,ARM-GROUP-LABEL,TEXT,text ✓ (stats),Arm Title,,,protocolSection.armsInterventionsModule.armGroups.label
ArmGroupLabel,,,,,,,,/Study/ProtocolSection/ArmsInterventionsModule/ArmGroupList/ArmGroup/ArmGroupLabel
type,,ARM-GROUP-TYPE,TEXT,enum ArmGroupType (stats),Arm Type,,,protocolSection.armsInterventionsModule.armGroups.type
ArmGroupType,,ARM-GROUP-TYPES,,,,,,/Study/ProtocolSection/ArmsInterventionsModule/ArmGroupList/ArmGroup/ArmGroupType
description,,ARM-GROUP-DESCRIPTION,MARKUP,markup ✓ (stats),Arm Description,,,protocolSection.armsInterventionsModule.armGroups.description
ArmGroupDescription,,,,,,,,/Study/ProtocolSection/ArmsInterventionsModule/ArmGroupList/ArmGroup/ArmGroupDescription
interventionNames,,ARM-GROUP-INTERVENTION,TEXT,text[] ✓ (stats),Arm/Group Intervention Name(s),,,protocolSection.armsInterventionsModule.armGroups.interventionNames
ArmGroupInterventionName,,,,,,,,/Study/ProtocolSection/ArmsInterventionsModule/ArmGroupList/ArmGroup/ArmGroupInterventionNameList/ArmGroupInterventionName
numArmGroupInterventionNames ✗,,,FUNC NOccrs(ArmGroupInterventionName),short (stats),,,,protocolSection.armsInterventionsModule.armGroups.numArmGroupInterventionNames
NumArmGroupInterventionNames,,,,,,,,/Study/ProtocolSection/ArmsInterventionsModule/ArmGroupList/ArmGroup/NumArmGroupInterventionNames
numArmGroups ✗,,NUMBER-OF-ARM-GROUPS,FUNC NOccrs(ArmGroup),short (stats),Number of Arms,,,protocolSection.armsInterventionsModule.numArmGroups
NumArmGroups,,,,,,,,/Study/ProtocolSection/ArmsInterventionsModule/NumArmGroups
interventions,,,STRUCT,Intervention[],Interventions,,,protocolSection.armsInterventionsModule.interventions
Intervention,,,,,,,,/Study/ProtocolSection/ArmsInterventionsModule/InterventionList/Intervention
type,,INTERVENTION-TYPE,TEXT,enum InterventionType (stats),Intervention Type,,,protocolSection.armsInterventionsModule.interventions.type
InterventionType,,INTERVENTION-TYPES,,,,,,/Study/ProtocolSection/ArmsInterventionsModule/InterventionList/Intervention/InterventionType
name,,INTERVENTION,TEXT,text ✓ (stats),Intervention Name(s),,,protocolSection.armsInterventionsModule.interventions.name
InterventionName,,INTERVENTIONS,,,,,,/Study/ProtocolSection/ArmsInterventionsModule/InterventionList/Intervention/InterventionName
,,INTERVENTION-NAME,,,,,,
description,,INTERVENTION-DESCRIPTION,MARKUP,markup ✓ (stats),Intervention Description,,,protocolSection.armsInterventionsModule.interventions.description
InterventionDescription,,,,,,,,/Study/ProtocolSection/ArmsInterventionsModule/InterventionList/Intervention/InterventionDescription
armGroupLabels,,,TEXT,text[] ✓ (stats),,,,protocolSection.armsInterventionsModule.interventions.armGroupLabels
InterventionArmGroupLabel,,,,,,,,/Study/ProtocolSection/ArmsInterventionsModule/InterventionList/Intervention/InterventionArmGroupLabelList/InterventionArmGroupLabel
numInterventionArmGroupLabels ✗,,,FUNC NOccrs(InterventionArmGroupLabel),short (stats),,,,protocolSection.armsInterventionsModule.interventions.numInterventionArmGroupLabels
NumInterventionArmGroupLabels,,,,,,,,/Study/ProtocolSection/ArmsInterventionsModule/InterventionList/Intervention/NumInterventionArmGroupLabels
otherNames,,INTERVENTION-OTHER-NAME,TEXT,text[] ✓ (stats),Other Intervention Name(s),,,protocolSection.armsInterventionsModule.interventions.otherNames
InterventionOtherName,,,,,,,,/Study/ProtocolSection/ArmsInterventionsModule/InterventionList/Intervention/InterventionOtherNameList/InterventionOtherName
numInterventionOtherNames ✗,,,FUNC NOccrs(InterventionOtherName),short (stats),,,,protocolSection.armsInterventionsModule.interventions.numInterventionOtherNames
NumInterventionOtherNames,,,,,,,,/Study/ProtocolSection/ArmsInterventionsModule/InterventionList/Intervention/NumInterventionOtherNames
numInterventions ✗,,NUMBER-OF-INTERVENTIONS,FUNC NOccrs(Intervention),short (stats),,,,protocolSection.armsInterventionsModule.numInterventions
NumInterventions,,,,,,,,/Study/ProtocolSection/ArmsInterventionsModule/NumInterventions
outcomesModule,,,STRUCT,OutcomesModule,Outcome Measures,,,protocolSection.outcomesModule
OutcomesModule,,,,,,,,/Study/ProtocolSection/OutcomesModule
primaryOutcomes,,,STRUCT,Outcome[],Primary Outcome Measure Information,,,protocolSection.outcomesModule.primaryOutcomes
PrimaryOutcome,,,,,,,,/Study/ProtocolSection/OutcomesModule/PrimaryOutcomeList/PrimaryOutcome
measure,,PRIMARY-OUTCOME-MEASURE,TEXT,text ✓ (stats),Title,,,protocolSection.outcomesModule.primaryOutcomes.measure
PrimaryOutcomeMeasure,,,,,,,,/Study/ProtocolSection/OutcomesModule/PrimaryOutcomeList/PrimaryOutcome/PrimaryOutcomeMeasure
description,,,MARKUP,markup ✓ (stats),Description,,,protocolSection.outcomesModule.primaryOutcomes.description
PrimaryOutcomeDescription,,,,,,,,/Study/ProtocolSection/OutcomesModule/PrimaryOutcomeList/PrimaryOutcome/PrimaryOutcomeDescription
timeFrame,,,TEXT,text ✓ (stats),Time Frame,,,protocolSection.outcomesModule.primaryOutcomes.timeFrame
PrimaryOutcomeTimeFrame,,,,,,,,/Study/ProtocolSection/OutcomesModule/PrimaryOutcomeList/PrimaryOutcome/PrimaryOutcomeTimeFrame
numPrimaryOutcomes ✗,,NUMBER-OF-PRIMARY-OMS,FUNC NOccrs(PrimaryOutcome),short (stats),,,,protocolSection.outcomesModule.numPrimaryOutcomes
NumPrimaryOutcomes,,,,,,,,/Study/ProtocolSection/OutcomesModule/NumPrimaryOutcomes
secondaryOutcomes,,,STRUCT,Outcome[],Secondary Outcome Measure Information,,,protocolSection.outcomesModule.secondaryOutcomes
SecondaryOutcome,,,,,,,,/Study/ProtocolSection/OutcomesModule/SecondaryOutcomeList/SecondaryOutcome
measure,,SECONDARY-OUTCOME-MEASURE,TEXT,text ✓ (stats),Title,,,protocolSection.outcomesModule.secondaryOutcomes.measure
SecondaryOutcomeMeasure,,,,,,,,/Study/ProtocolSection/OutcomesModule/SecondaryOutcomeList/SecondaryOutcome/SecondaryOutcomeMeasure
description,,,MARKUP,markup ✓ (stats),Description,,,protocolSection.outcomesModule.secondaryOutcomes.description
SecondaryOutcomeDescription,,,,,,,,/Study/ProtocolSection/OutcomesModule/SecondaryOutcomeList/SecondaryOutcome/SecondaryOutcomeDescription
timeFrame,,,TEXT,text ✓ (stats),Time Frame,,,protocolSection.outcomesModule.secondaryOutcomes.timeFrame
SecondaryOutcomeTimeFrame,,,,,,,,/Study/ProtocolSection/OutcomesModule/SecondaryOutcomeList/SecondaryOutcome/SecondaryOutcomeTimeFrame
numSecondaryOutcomes ✗,,NUMBER-OF-SECONDARY-OMS,FUNC NOccrs(SecondaryOutcome),short (stats),,,,protocolSection.outcomesModule.numSecondaryOutcomes
NumSecondaryOutcomes,,,,,,,,/Study/ProtocolSection/OutcomesModule/NumSecondaryOutcomes
otherOutcomes,,,STRUCT,Outcome[],Other Pre-specified Outcome Measures,,,protocolSection.outcomesModule.otherOutcomes
OtherOutcome,,,,,,,,/Study/ProtocolSection/OutcomesModule/OtherOutcomeList/OtherOutcome
measure,,,TEXT,text ✓ (stats),Title,,,protocolSection.outcomesModule.otherOutcomes.measure
OtherOutcomeMeasure,,,,,,,,/Study/ProtocolSection/OutcomesModule/OtherOutcomeList/OtherOutcome/OtherOutcomeMeasure
description,,,MARKUP,markup ✓ (stats),Description,,,protocolSection.outcomesModule.otherOutcomes.description
OtherOutcomeDescription,,,,,,,,/Study/ProtocolSection/OutcomesModule/OtherOutcomeList/OtherOutcome/OtherOutcomeDescription
timeFrame,,,TEXT,text ✓ (stats),Time Frame,,,protocolSection.outcomesModule.otherOutcomes.timeFrame
OtherOutcomeTimeFrame,,,,,,,,/Study/ProtocolSection/OutcomesModule/OtherOutcomeList/OtherOutcome/OtherOutcomeTimeFrame
numOtherOutcomes ✗,,,FUNC NOccrs(OtherOutcome),short (stats),,,,protocolSection.outcomesModule.numOtherOutcomes
NumOtherOutcomes,,,,,,,,/Study/ProtocolSection/OutcomesModule/NumOtherOutcomes
numOutcomes ✗,,,"FUNC NOccrs(PrimaryOutcome, SecondaryOutcome, OtherOutcome)",short (stats),,,,protocolSection.outcomesModule.numOutcomes
NumOutcomes,,,,,,,,/Study/ProtocolSection/OutcomesModule/NumOutcomes
eligibilityModule,,,STRUCT,EligibilityModule,Eligibility,,,protocolSection.eligibilityModule
EligibilityModule,,,,,,,,/Study/ProtocolSection/EligibilityModule
eligibilityCriteria,,,MARKUP,markup ✓ (stats),Eligibility Criteria,,,protocolSection.eligibilityModule.eligibilityCriteria
EligibilityCriteria,,,,,,,,/Study/ProtocolSection/EligibilityModule/EligibilityCriteria
healthyVolunteers,,HEALTHY-VOLUNTEERS,BOOLEAN,boolean (stats),Accepts Healthy Volunteers,,,protocolSection.eligibilityModule.healthyVolunteers
HealthyVolunteers,,,,,,,,/Study/ProtocolSection/EligibilityModule/HealthyVolunteers
sex,,Gender,TEXT,enum Sex (stats),Sex/Gender,,,protocolSection.eligibilityModule.sex
Sex,,GENDER,,,,,,/Study/ProtocolSection/EligibilityModule/Sex
genderBased,,,BOOLEAN,boolean (stats),Gender Based,,,protocolSection.eligibilityModule.genderBased
GenderBased,,,,,,,,/Study/ProtocolSection/EligibilityModule/GenderBased
genderDescription,,,MARKUP,markup ✓ (stats),Gender Eligibility Description,,,protocolSection.eligibilityModule.genderDescription
GenderDescription,,,,,,,,/Study/ProtocolSection/EligibilityModule/GenderDescription
minimumAge,,MINIMUM-AGE,TIME,NormalizedTime (stats),Minimum Age,,,protocolSection.eligibilityModule.minimumAge
MinimumAge,,,,,,,,/Study/ProtocolSection/EligibilityModule/MinimumAge
maximumAge,,MAXIMUM-AGE,TIME,NormalizedTime (stats),Maximum Age,,,protocolSection.eligibilityModule.maximumAge
MaximumAge,,,,,,,,/Study/ProtocolSection/EligibilityModule/MaximumAge
stdAges,,AGE-GROUP,TEXT,enum StandardAge[] (stats),,,,protocolSection.eligibilityModule.stdAges
StdAge,,,,,,,,/Study/ProtocolSection/EligibilityModule/StdAgeList/StdAge
numStdAges ✗,,,FUNC NOccrs(StdAge),short (stats),,,,protocolSection.eligibilityModule.numStdAges
NumStdAges,,,,,,,,/Study/ProtocolSection/EligibilityModule/NumStdAges
studyPopulation,,,MARKUP,markup ✓ (stats),Study Population Description (For observational studies only),,,protocolSection.eligibilityModule.studyPopulation
StudyPopulation,,,,,,,,/Study/ProtocolSection/EligibilityModule/StudyPopulation
samplingMethod,,,TEXT,enum SamplingMethod (stats),Sampling Method (For observational studies only),,,protocolSection.eligibilityModule.samplingMethod
SamplingMethod,,,,,,,,/Study/ProtocolSection/EligibilityModule/SamplingMethod
contactsLocationsModule,,,STRUCT,ContactsLocationsModule,"Contacts, Locations, and Investigator Information",,,protocolSection.contactsLocationsModule
ContactsLocationsModule,,,,,,,,/Study/ProtocolSection/ContactsLocationsModule
centralContacts,,,STRUCT,Contact[],Central Contact Person or Optional Central Contact Backup,,,protocolSection.contactsLocationsModule.centralContacts
CentralContact,,,,,,,,/Study/ProtocolSection/ContactsLocationsModule/CentralContactList/CentralContact
name,,,TEXT,text (stats),First Name & Middle Initial & Last Name or Official Title & Degree,,,protocolSection.contactsLocationsModule.centralContacts.name
CentralContactName,,,,,,,,/Study/ProtocolSection/ContactsLocationsModule/CentralContactList/CentralContact/CentralContactName
role,,,TEXT,enum ContactRole (stats),,,,protocolSection.contactsLocationsModule.centralContacts.role
CentralContactRole,,,,,,,,/Study/ProtocolSection/ContactsLocationsModule/CentralContactList/CentralContact/CentralContactRole
phone,,,TEXT,text (stats),Phone,,,protocolSection.contactsLocationsModule.centralContacts.phone
CentralContactPhone,,,,,,,,/Study/ProtocolSection/ContactsLocationsModule/CentralContactList/CentralContact/CentralContactPhone
phoneExt,,,TEXT,text (stats),Ext,,,protocolSection.contactsLocationsModule.centralContacts.phoneExt
CentralContactPhoneExt,,,,,,,,/Study/ProtocolSection/ContactsLocationsModule/CentralContactList/CentralContact/CentralContactPhoneExt
email,,,TEXT,text (stats),Email,,,protocolSection.contactsLocationsModule.centralContacts.email
CentralContactEMail,,,,,,,,/Study/ProtocolSection/ContactsLocationsModule/CentralContactList/CentralContact/CentralContactEMail
numCentralContacts ✗,,,FUNC NOccrs(CentralContact),short (stats),,,,protocolSection.contactsLocationsModule.numCentralContacts
NumCentralContacts,,,,,,,,/Study/ProtocolSection/ContactsLocationsModule/NumCentralContacts
overallOfficials,,,STRUCT,Official[],Overall Study Officials,,,protocolSection.contactsLocationsModule.overallOfficials
OverallOfficial,,,,,,,,/Study/ProtocolSection/ContactsLocationsModule/OverallOfficialList/OverallOfficial
name,,,TEXT,text (stats),First Name & Middle Initial & Last Name & Degree,,,protocolSection.contactsLocationsModule.overallOfficials.name
OverallOfficialName,,,,,,,,/Study/ProtocolSection/ContactsLocationsModule/OverallOfficialList/OverallOfficial/OverallOfficialName
affiliation,,,TEXT,text (stats),Organizational Affiliation,,,protocolSection.contactsLocationsModule.overallOfficials.affiliation
OverallOfficialAffiliation,,,,,,,,/Study/ProtocolSection/ContactsLocationsModule/OverallOfficialList/OverallOfficial/OverallOfficialAffiliation
role,,,TEXT,enum OfficialRole (stats),Official's Role,,,protocolSection.contactsLocationsModule.overallOfficials.role
OverallOfficialRole,,,,,,,,/Study/ProtocolSection/ContactsLocationsModule/OverallOfficialList/OverallOfficial/OverallOfficialRole
numOverallOfficials ✗,,,FUNC NOccrs(OverallOfficial),short (stats),,,,protocolSection.contactsLocationsModule.numOverallOfficials
NumOverallOfficials,,,,,,,,/Study/ProtocolSection/ContactsLocationsModule/NumOverallOfficials
locations ⤷,,,STRUCT,Location[],Facility Information,,,protocolSection.contactsLocationsModule.locations
Location,,,,,,,,/Study/ProtocolSection/ContactsLocationsModule/LocationList/Location
facility,,LOCATION-NAME,TEXT,text (stats),Facility Name,,,protocolSection.contactsLocationsModule.locations.facility
LocationFacility,,FACILITY,,,,,,/Study/ProtocolSection/ContactsLocationsModule/LocationList/Location/LocationFacility
status,,LOCATION-STATUS,TEXT,enum RecruitmentStatus (stats),Individual Site Status,,,protocolSection.contactsLocationsModule.locations.status
LocationStatus,,,,,,,,/Study/ProtocolSection/ContactsLocationsModule/LocationList/Location/LocationStatus
city,,LOCATION-CITY,TEXT,text (stats),City,,,protocolSection.contactsLocationsModule.locations.city
LocationCity,,CITY,,,,,,/Study/ProtocolSection/ContactsLocationsModule/LocationList/Location/LocationCity
state,,LOCATION-STATE,TEXT,text (stats),State/Province,,,protocolSection.contactsLocationsModule.locations.state
LocationState,,STATE,,,,,,/Study/ProtocolSection/ContactsLocationsModule/LocationList/Location/LocationState
zip,,LOCATION-ZIP,TEXT,text (stats),ZIP/Postal Code,,,protocolSection.contactsLocationsModule.locations.zip
LocationZip,,,,,,,,/Study/ProtocolSection/ContactsLocationsModule/LocationList/Location/LocationZip
country,,LOCATION-COUNTRY,TEXT,text (stats),Country,,,protocolSection.contactsLocationsModule.locations.country
LocationCountry,,COUNTRY,,,,,,/Study/ProtocolSection/ContactsLocationsModule/LocationList/Location/LocationCountry
,,COUNTRIES,,,,,,
contacts,,,STRUCT,Contact[],Facility Contact or Facility Contact Backup,,,protocolSection.contactsLocationsModule.locations.contacts
LocationContact,,,,,,,,/Study/ProtocolSection/ContactsLocationsModule/LocationList/Location/LocationContactList/LocationContact
name,,,TEXT,text (stats),First Name & Middle Initial & Last Name & Degree,,,protocolSection.contactsLocationsModule.locations.contacts.name
LocationContactName,,,,,,,,/Study/ProtocolSection/ContactsLocationsModule/LocationList/Location/LocationContactList/LocationContact/LocationContactName
role,,,TEXT,enum ContactRole (stats),Investigators,,,protocolSection.contactsLocationsModule.locations.contacts.role
LocationContactRole,,,,,,,,/Study/ProtocolSection/ContactsLocationsModule/LocationList/Location/LocationContactList/LocationContact/LocationContactRole
phone,,,TEXT,text (stats),Phone,,,protocolSection.contactsLocationsModule.locations.contacts.phone
LocationContactPhone,,,,,,,,/Study/ProtocolSection/ContactsLocationsModule/LocationList/Location/LocationContactList/LocationContact/LocationContactPhone
phoneExt,,,TEXT,text (stats),Ext,,,protocolSection.contactsLocationsModule.locations.contacts.phoneExt
LocationContactPhoneExt,,,,,,,,/Study/ProtocolSection/ContactsLocationsModule/LocationList/Location/LocationContactList/LocationContact/LocationContactPhoneExt
email,,,TEXT,text (stats),Email,,,protocolSection.contactsLocationsModule.locations.contacts.email
LocationContactEMail,,,,,,,,/Study/ProtocolSection/ContactsLocationsModule/LocationList/Location/LocationContactList/LocationContact/LocationContactEMail
numLocationContacts ✗,,,FUNC NOccrs(LocationContact),short (stats),,,,protocolSection.contactsLocationsModule.locations.numLocationContacts
NumLocationContacts,,,,,,,,/Study/ProtocolSection/ContactsLocationsModule/LocationList/Location/NumLocationContacts
countryCode ✗,ISO Country Code,,FUNC CountryCode(LocationCountry),keyword (stats),,,,protocolSection.contactsLocationsModule.locations.countryCode
LocationCountryCode,,,,,,,,/Study/ProtocolSection/ContactsLocationsModule/LocationList/Location/LocationCountryCode
geoPoint,,,"FUNC GeoPoint(LocationCity, LocationState, LocationZip, LocationCountry, LocationLatitude, LocationLongitude, OverallStatus, LastUpdatePostDate)",GeoPoint (stats),,,,protocolSection.contactsLocationsModule.locations.geoPoint
LocationGeoPoint,,,,,,,,/Study/ProtocolSection/ContactsLocationsModule/LocationList/Location/LocationGeoPoint
numLocations ✗,,NUMBER-OF-LOCATIONS,FUNC NOccrs(Location),short (stats),,,,protocolSection.contactsLocationsModule.numLocations
NumLocations,,,,,,,,/Study/ProtocolSection/ContactsLocationsModule/NumLocations
numUniqueLocationCountries ✗,,NUMBER-OF-COUNTRIES,FUNC NUniq(LocationCountry),short (stats),,,,protocolSection.contactsLocationsModule.numUniqueLocationCountries
NumUniqueLocationCountries,,,,,,,,/Study/ProtocolSection/ContactsLocationsModule/NumUniqueLocationCountries
referencesModule,,,STRUCT,ReferencesModule,References,,,protocolSection.referencesModule
ReferencesModule,,,,,,,,/Study/ProtocolSection/ReferencesModule
references,,,STRUCT,Reference[],Citations,,,protocolSection.referencesModule.references
Reference,,,,,,,,/Study/ProtocolSection/ReferencesModule/ReferenceList/Reference
pmid,,PUBMED-IDS,TEXT,text (stats),PubMed Identifier,,,protocolSection.referencesModule.references.pmid
ReferencePMID,,,,,,,,/Study/ProtocolSection/ReferencesModule/ReferenceList/Reference/ReferencePMID
type,,,TEXT,enum ReferenceType (stats),Results Reference,,,protocolSection.referencesModule.references.type
ReferenceType,,,,,,,,/Study/ProtocolSection/ReferencesModule/ReferenceList/Reference/ReferenceType
citation,,CITATIONS,TEXT,text ✓ (stats),Citation,,,protocolSection.referencesModule.references.citation
ReferenceCitation,,,,,,,,/Study/ProtocolSection/ReferencesModule/ReferenceList/Reference/ReferenceCitation
retractions,,,STRUCT,Retraction[],,,,protocolSection.referencesModule.references.retractions
Retraction,,,,,,,,/Study/ProtocolSection/ReferencesModule/ReferenceList/Reference/RetractionList/Retraction
pmid,,,TEXT,text (stats),,,,protocolSection.referencesModule.references.retractions.pmid
RetractionPMID,,,,,,,,/Study/ProtocolSection/ReferencesModule/ReferenceList/Reference/RetractionList/Retraction/RetractionPMID
source,,,TEXT,text ✓ (stats),,,,protocolSection.referencesModule.references.retractions.source
RetractionSource,,,,,,,,/Study/ProtocolSection/ReferencesModule/ReferenceList/Reference/RetractionList/Retraction/RetractionSource
numRetractionsForRef ✗,,,FUNC NOccrs(Retraction),short (stats),,,,protocolSection.referencesModule.references.numRetractionsForRef
NumRetractionsForRef,,,,,,,,/Study/ProtocolSection/ReferencesModule/ReferenceList/Reference/NumRetractionsForRef
numReferences ✗,,NUMBER-OF-CITATIONS,FUNC NOccrs(Reference),short (stats),,,,protocolSection.referencesModule.numReferences
NumReferences,,,,,,,,/Study/ProtocolSection/ReferencesModule/NumReferences
numRetractionsAllRefs ✗,,,FUNC NOccrs(Retraction),short (stats),,,,protocolSection.referencesModule.numRetractionsAllRefs
NumRetractionsAllRefs,,,,,,,,/Study/ProtocolSection/ReferencesModule/NumRetractionsAllRefs
seeAlsoLinks,,,STRUCT,SeeAlsoLink[],Links,,,protocolSection.referencesModule.seeAlsoLinks
SeeAlsoLink,,,,,,,,/Study/ProtocolSection/ReferencesModule/SeeAlsoLinkList/SeeAlsoLink
label,,LINK-LABELS,MARKUP,markup ✓ (stats),Description,,,protocolSection.referencesModule.seeAlsoLinks.label
SeeAlsoLinkLabel,,,,,,,,/Study/ProtocolSection/ReferencesModule/SeeAlsoLinkList/SeeAlsoLink/SeeAlsoLinkLabel
url,,LINKS,TEXT,text (stats),URL,,,protocolSection.referencesModule.seeAlsoLinks.url
SeeAlsoLinkURL,,,,,,,,/Study/ProtocolSection/ReferencesModule/SeeAlsoLinkList/SeeAlsoLink/SeeAlsoLinkURL
numSeeAlsoLinks ✗,,,FUNC NOccrs(SeeAlsoLink),short (stats),,,,protocolSection.referencesModule.numSeeAlsoLinks
NumSeeAlsoLinks,,,,,,,,/Study/ProtocolSection/ReferencesModule/NumSeeAlsoLinks
availIpds,,,STRUCT,AvailIpd[],,,,protocolSection.referencesModule.availIpds
AvailIPD,,,,,,,,/Study/ProtocolSection/ReferencesModule/AvailIPDList/AvailIPD
id,,,TEXT,text ✓ (stats),Available IPD/Information Identifier,,,protocolSection.referencesModule.availIpds.id
AvailIPDId,,,,,,,,/Study/ProtocolSection/ReferencesModule/AvailIPDList/AvailIPD/AvailIPDId
type,,,TEXT,text ✓ (stats),Available IPD/Information Type,,,protocolSection.referencesModule.availIpds.type
AvailIPDType,,,,,,,,/Study/ProtocolSection/ReferencesModule/AvailIPDList/AvailIPD/AvailIPDType
url,,,TEXT,text (stats),Available IPD/Information URL,,,protocolSection.referencesModule.availIpds.url
AvailIPDURL,,,,,,,,/Study/ProtocolSection/ReferencesModule/AvailIPDList/AvailIPD/AvailIPDURL
comment,,,MARKUP,markup ✓ (stats),Available IPD/Information Comments,,,protocolSection.referencesModule.availIpds.comment
AvailIPDComment,,,,,,,,/Study/ProtocolSection/ReferencesModule/AvailIPDList/AvailIPD/AvailIPDComment
numAvailIpDs ✗,,,FUNC NOccrs(AvailIPD),short (stats),,,,protocolSection.referencesModule.numAvailIpDs
NumAvailIPDs,,,,,,,,/Study/ProtocolSection/ReferencesModule/NumAvailIPDs
ipdSharingStatementModule,,,STRUCT,IpdSharingStatementModule,IPD Sharing Statement,,,protocolSection.ipdSharingStatementModule
IPDSharingStatementModule,,,,,,,,/Study/ProtocolSection/IPDSharingStatementModule
ipdSharing,,,TEXT,enum IpdSharing (stats),Plan to Share IPD,,,protocolSection.ipdSharingStatementModule.ipdSharing
IPDSharing,,,,,,,,/Study/ProtocolSection/IPDSharingStatementModule/IPDSharing
description,,,MARKUP,markup ✓ (stats),IPD Sharing Plan Description,,,protocolSection.ipdSharingStatementModule.description
IPDSharingDescription,,,,,,,,/Study/ProtocolSection/IPDSharingStatementModule/IPDSharingDescription
infoTypes,,,TEXT,enum IpdSharingInfoType[] (stats),IPD Sharing Supporting Information Type,,,protocolSection.ipdSharingStatementModule.infoTypes
IPDSharingInfoType,,,,,,,,/Study/ProtocolSection/IPDSharingStatementModule/IPDSharingInfoTypeList/IPDSharingInfoType
numIpdSharingInfoTypes ✗,,,FUNC NOccrs(IPDSharingInfoType),short (stats),,,,protocolSection.ipdSharingStatementModule.numIpdSharingInfoTypes
NumIPDSharingInfoTypes,,,,,,,,/Study/ProtocolSection/IPDSharingStatementModule/NumIPDSharingInfoTypes
timeFrame,,,MARKUP,markup ✓ (stats),IPD Sharing Time Frame,,,protocolSection.ipdSharingStatementModule.timeFrame
IPDSharingTimeFrame,,,,,,,,/Study/ProtocolSection/IPDSharingStatementModule/IPDSharingTimeFrame
accessCriteria,,,MARKUP,markup ✓ (stats),IPD Sharing Access Criteria,,,protocolSection.ipdSharingStatementModule.accessCriteria
IPDSharingAccessCriteria,,,,,,,,/Study/ProtocolSection/IPDSharingStatementModule/IPDSharingAccessCriteria
url,,,TEXT,text (stats),IPD Sharing URL,,,protocolSection.ipdSharingStatementModule.url
IPDSharingURL,,,,,,,,/Study/ProtocolSection/IPDSharingStatementModule/IPDSharingURL
