,ID,Sentence,disease
1078,80,"Requiring invasive positive pressure respiratory support and FiO2 ≥ 25% or requiring non-invasive positive pressure respiratory support (NCPAP≥ 5 cm H20, NIPPV/BiPhasic CPAP) and FiO2 ≥ 30%.",{''}
1079,81,Patient able to sign a non-opposition,{''}
1080,82,OR,{''}
1081,85,Growing patients.,{''}
1082,86,) Surgically resected pathological tissue capable of being used for immunohistochemical detection of target proteins and positive for B7H3 expression;,{''}
1083,87,Malnutrition is assessed by Nutritional Risk Screening 2002 score≥3 and Patient Generated Subjective Global Assessment (PG-SGA) score≥4;,{'Mal ##nut ##rit ##ion'}
1084,88,Study participant has a confirmed positive record of autoantibodies against acetylcholine receptor (AChR) or muscle-specific kinase (MuSK) at Screening (Visit 1).The presence of autoantibodies may be confirmed with repeat testing at Visit 1,{''}
1085,90,Age ≥18 years;,{''}
1086,91,Postmenopausal women (without hormone replacement),{''}
1087,92,"Has a spinal cord injury caused by trauma (fall, car accident, etc.) for at least one year that is not getting worse over time",{'spinal cord injury'}
1088,93,Self identifies as Latino/Hispanic,{''}
1089,94,Male or female weighing more than 15kg,{''}
1090,96,"If capable of producing sperm, male participants agree to the following during the intervention period and for at least the time needed to eliminate each study intervention after the last dose of study intervention. The length of time required to continue contraception for each study intervention is",{''}
1091,97,Planned primary or adjuvant radiation or chemoradiation therapy,{''}
1092,98,"Clinical situations in which such emergent treatment may be indicated include, but are not limited to, the following circumstances",{''}
1093,100,Body weight at baseline of ≥17 kg.,{''}
1094,101,Sero suitable for challenge virus,{''}
1095,102,Participants who are newly diagnosed and not considered for high-dose chemotherapy due to being age \>=65 years; or participants less than (\<) 65 years with presence of important comorbid condition(s) likely to have a negative impact on tolerability of high dose chemotherapy with stem cell transplantation. Sponsor review and approval of participants below 65 years of age is required before randomization,{''}
1096,104,"Planned and scheduled on-pump, arrested heart CABG.",{''}
1097,105,Participants should not have had prior systemic therapy administered in the R/M setting; systemic therapy which was completed prior to randomization/enrollment if given as part of multimodal treatment for locally or locoregionally advanced disease is allowed,{''}
1098,106,\>500 applications to each eye,{''}
1099,107,Diagnosed with ALL (treated with CRT or chemotherapy only) or CNS tumors (posterior fossa tumors or supratentorial tumors) or non-CNS solid tumors (with abdominal or chest radiation or bilateral retinoblastoma survivors).,"{'AL ##L, C ##NS tumors, posterior f ##ossa tumors, su ##ten ##l tumors, non - C ##NS solid tumors, re ##tino ##blast ##oma'}"
1100,108,Visual acuity is correctable to 6/7.5 or better with eyeglasses.,{''}
1101,109,"Age ≥18 years at the time of consent. Because no dosing or adverse event data are currently available on the use of fiducials in combination with SBRT in subjects \<18 years of age, children are excluded from this study.",{''}
1102,110,"Left atrial (LA) diameter ≤ 5.5 cm or LA volume index ≤ 50 mL/m2 (use whichever measure is available or if both available, use the lesser of the two to qualify)",{''}
1103,111,Patients with clinical deterioration during aPD1 monotherapy are eligible ≥6 weeks after starting aPD1 therapy,{''}
1104,112,Term gestational age,{''}
1105,113,Patients with confirmed diagnosis of ATTR-CM after 01 June 2019,{'AT ##TR - C ##M'}
1106,114,Patients with idiopathic gastroparesis,"{'id, ##io ##pathic gas ##tro ##par ##esis'}"
1107,117,"Participants with a documented history of histopathological confirmed metastatic NSCLC that is unresectable, progressive and for which standard treatment measures are no longer effective.",{'meta ##static N ##SC ##LC'}
1108,118,"Participants ≥ 18 years of age must have measurable disease, per Response Evaluation Criteria in Solid Tumors (RECIST) v1.1.",{'Solid Tu ##mor'}
1109,119,All parities of patients are eligible,{''}
1110,121,Consenting to regional anesthesia for postoperative pain control,{''}
1111,122,Not a woman of child-bearing potential (WOCBP),{''}
1112,125,Has histologically or cytologically confirmed diagnosis of adenocarcinoma of the prostate,{'ad ##eno ##car ##cin ##oma of the pro ##state'}
1113,126,"Has access to and is capable of using a digital device (smartphone, tablet, or computer) to interact with the Metrikamind platform.",{''}
1114,127,Provided signed Informed Consent to participate in the study,{''}
1115,128,"Those judged by the investigator on the day of screening to be able to consume the food for this human test (control food) without chewing it, with water or the provided puree",{''}
1116,130,Diagnosis of T1D within 100 days of the baseline visit (V0).,{'T ##1 ##D'}
1117,131,"Has been resident in Alexandria, Egypt for at least 6 months.",{''}
1118,132,maintaining normal exercise level (\<7 h/wk) and willing to avoid exercise 24-h prior to blood and stool sampling and 12-h prior to bone measurements,{''}
1119,133,students with self-reported depressive symptoms (BDI-II score of 14 or higher),{'de'}
1120,136,"with a complaint of hair in the axillary region,",{''}
1121,137,The subject or guardian is willing and able to sign an informed consent form.,{''}
1122,138,Recent diagnosis (\< 3 months) of a poor prognosis cancer with an estimated survival of 50% or less by the primary oncologist (cohort 1) OR recent history of disease relapse/progression within the past 3 months (cohort 2) OR active enrollment on a phase I/II trial (cohort 3).,{'cancer'}
1123,139,Participants with elevated lipids.,{''}
1124,140,Outpatient population,{''}
1125,144,Post-menopausal if Female,{''}
1126,146,≥6 tender/painful joints; ≥6 swollen joints,{''}
1127,147,HCV-RNA positive in serum or HCV antibody positive patients (regardless of the amount of viral and treatment).,{''}
1128,148,PSA of ≥5.0 ng/ml (5.0 ug/L) prior to commencement of ADT,{''}
1129,149,Hemoglobin A1C less than 9.0%,{''}
1130,150,Receiving vasoactive therapy AND/OR undergoing mechanical ventilation (including non-invasive mechanical ventilation (NIMV));,{''}
1131,151,Male or female ≥ 18 years at signing the ICF;,{''}
1132,152,Singleton pregnancy.,{''}
1133,154,Patient with a negative PV for Strepto B,{''}
1134,155,Clinically diagnosed as androgenetic alopecia;,{'and ##rogen ##etic al ##ope ##cia'}
1135,156,Patients with complete clinical data and able to cooperate with treatment.,{''}
1136,157,One male or female aged 60 or over but below 70 years old.,{''}
1137,159,Patients must have radiological evidence of disease progression following the most recent treatment,{''}
1138,160,epileptic syndromes/epileptic-encephalopathies with unknown etiology.,"{'e, ##pile ##ptic syndrome, e, ##pile ##ptic - en ##ce ##pha ##lop ##ath ##ies'}"
1139,161,Willing to comply with study procedures,{''}
1140,162,Patients must have received at least 2 lines of systemic treatment for metastatic disease,{''}
1141,164,"Diagnosis of CD based on clinical, endoscopic, and histologic evidence established at least 3 months prior to Screening.",{'CD'}
1142,165,"Having an ischemic type stroke,",{'is ##che ##mic type stroke'}
1143,166,at least 50 kg,{''}
1144,167,"with amnestic Mild Cognitive Impairment (Montreal Cognitive Assessment Battery score \[MoCA\] total score 19-25; and score of \> 1.0 on the Mail-in Cognitive Function Screening Instrument),",{'am Mi ##ld Co ##gni ##tive I ##mp ##air ##ment'}
1145,168,Able to provide informed consent,{''}
1146,169,the Glasgow Coma Scale (GCS) on admission of Pediatric Intensive Care Unit (PICU) is greater than 3,{''}
1147,171,have at least one biological child aged 1 to 12 years with whom they live or have at least twice per month in person visits;,{''}
1148,172,For PsO Participants,{'P ##O'}
1149,175,No metal implants,{''}
1150,177,Willingness and ability to complete systematic neuropsychological tests;,{''}
1151,178,Participant (as applicable) and/or parent(s) or legally authorized representative (LAR(s)) is willing to comply with the recommended schedule of assessments.,{''}
1152,179,"Has been untreated for Stage IIIB, IIIC or IIID melanoma",{'me ##lan ##oma'}
1153,180,at risk for developing type 2 diabetes (prediabetes),"{'type 2 diabetes, pre ##dia ##bet ##es'}"
1154,181,"Prior orchiectomy or medical castration; participants who have not undergone orchiectomy, must be receiving ongoing androgen deprivation therapy with a gonadotropin releasing hormone (GnRH) analog (agonist or antagonist), prior to the first dose of study drug and must continue this therapy throughout the treatment phase","{'or, or'}"
1155,182,Strong family history of pancreas cancer on one side of the family tree or,{'pan ##cre ##as cancer'}
1156,183,Diagnosis of relapse or progressive disease (any cancer diagnosis) as identified by imaging or biopsy and confirmed by physician.,{'cancer'}
1157,184,"Histological diagnosis of squamous or non-squamous, inoperable, metastatic NSCLC",{'N ##SC ##LC'}
1158,185,Acceptable performance status and an estimated life expectancy of \> 6 months.,{''}
1159,186,Histologically or cytologically diagnosed with ES-SCLC (according to the Veterans Administration Lung Study Group staging system).,{'E ##S - SC ##LC'}
1160,187,"Diagnosis relapsed/refractory solid tumours with positive uptake on SSTR-PET (PET-CT or PET-MRI), performed in the previous three months before entering the study. The positiveness of the study in patients with localized CNS tumours that do not spread through the spine, will be assessed according to",{'C ##NS t ##umour'}
1161,188,Subjects have received FIX products for ≥ 150 exposure days (EDs) (subjects aged ≥ 6 years) or ≥ 50 EDs (subjects aged \< 6 years),{''}
1162,189,"Patients must have recurrent or refractory disease, or newly diagnosed disease with no known curative therapy or therapy proven to prolong survival with an acceptable quality of life; patients must have had histologic verification of one of the malignancies listed below at original diagnosis or at relapse","{'ma, ##li'}"
1163,190,Patients with histological confirmation of locally advanced or metastatic NSCLC,{''}
1164,191,"Individuals who have voluntarily given written informed consent after the nature of the study has been explained according to local regulatory requirements, prior to study entry.",{''}
1165,192,"Before treatment with atorvastatin,non-HDL-C≥5.76mmol/L（223 mg/dL）;",{''}
1166,195,"With a GI bleeding \[either overt (any hematemesis, any melena or hematochezia with at least a 2g/dL drop in hemoglobin) or occult (iron deficiency anemia with at least 2g/dL drop in hemoglobin)\] with the presence of angiodysplasia or a negative finding on digestive conventional endoscopy OR with a severe epistaxis (requiring red blood cells transfusion or treatment with VWF concentrates)","{'G ##I bleeding, hem ##ate ##mes ##is, me, ##lena, hem ##ato ##che ##zia, iron deficiency an ##emia, an, ##gio ##dy ##sp ##lasia, e, ##pis ##ta ##xi ##s'}"
1167,196,Subject must agree to undergo all clinical investigation plan - required clinical follow-up visits,{''}
1168,197,English speaking or Spanish speaking,{''}
1169,198,"Subject meets the ACR 1991 Revised Criteria for Global Functional Status in RA Class I, II or III at Screening and Baseline",{''}
1170,199,At least 2 SCPCs and no more than 10 SCPCs in the past 12 months;,"{'SC, SC'}"
1171,200,Pseudophakia or aphakia in the eye to be operated on,"{'P, ##se, ##udo ##pha ##ki ##a, a ##pha ##ki ##a in the eye'}"
1172,201,Patients who approve to be included in the trial and sign the informed consent,{''}
1173,202,Clinically significant difficulties in interpersonal relationships,{''}
1174,203,"Have molecular evidence of an epidermal growth factor receptor mutation (EGFRmt) known to be associated with EGFR tyrosine kinase inhibitor (TKI) drug sensitivity (G719X, exon 19 deletion, L858R, L861Q)",{''}
1175,204,English speaking or Spanish speaking,{''}
1176,205,"Male and non-childbearing potential female\* participants 18 to 70 years of age, inclusive, at Screening.",{''}
1177,206,"Participants with reduced maximum oxygen uptake due to poor SOE, defined as peak exercise (\[Ca-VO2\])/\[Hb\]) ≤ 0.85 and VO2max \< 85% predicted in the absence of a cardiac or pulmonary mechanical limit, determined by aCPET within 6 months prior to day 1 or participants with reduced maximum oxygen uptake due to poor SOE, defined as peak exercise (\[Ca-VO2\])/\[Hb\]) ≤ 0.85 and VO2max \< 85% predicted in the absence of a cardiac or pulmonary mechanical limit, determined by historical aCPET within 45 months of screening and confirmed reduction in skeletal muscle citrate synthase activity.",{''}
1178,207,Lenke 5 type adolescent idiopathic scoliosis,{'Len ##ke 5 type adolescent id ##io ##pathic s ##co ##lio ##sis'}
1179,208,"presenting adjacent RT1/RT2 recessions, on both sides of the anterior maxilla, with an apico-coronal extension (i.e. recession depth) \> 2mm combined with thick phenotype and deep root concavity.",{''}
1180,210,The patient presents with knee pain during physical activity.,{'knee pain'}
1181,211,Increase in the level of care (outpatient care to day clinic or inpatient care),{''}
1182,212,(b) report frequent cannabis use defined as \> 5 days per week for \> 1 year with a positive THC urine toxicology at baseline.,{''}
1183,213,Pathological diagnosis was chronic endometritis,{'chronic end ##ome ##tri ##tis'}
1184,215,"Receiving diabetes care at one of 4 university teaching hospital-based pediatric diabetes clinics in Quebec Montreal Children's Hospital-McGill University Health Centre, Centre hospitalier universitaire de Sherbrooke, Le Copain-Hôpital de Gatineau, Centre Hospitalier Universitaire de Québec",{''}
1185,218,Absence of congenital and genetic disorders and chromosomal abnormalities,"{'con ##gen ##ital and genetic disorders, ch, ##rom ##oso ##mal abnormal ##ities'}"
1186,220,"On antiretroviral therapy with plasma HIV-1 RNA levels of \< 50 copies/ml and no reported interruption of ART for 7 consecutive days or longer for at least 48 weeks, and \< 20 copies/ml at screening.",{''}
1187,221,ECOG Performance Status of 0-2.,{''}
1188,222,Speaks and reads in English or Spanish,{''}
1189,223,A female is considered of childbearing potential unless she is,{''}
1190,224,Participants must have a life expectancy of at least 3 months at the time of first dose.,{''}
1191,225,Maintain castrate levels of testosterone within 4 weeks prior to randomization and throughout the study,{''}
1192,226,Male participant must not donate sperm during the treatment period and for 90 days after IP administration.,{''}
1193,229,Male or female \> 18 years of age.,{''}
1194,230,"Male and female participants who are overtly healthy as determined by medical evaluation including medical history, physical examination, vital signs assessments, oral temperature, 12-lead ECGs, and laboratory tests.",{''}
1195,231,Have been cleared for physical activity by a physician or nurse practitioner (physician or nurse practitioner name and date clearance received),{''}
1196,232,Have an Eastern Cooperative Oncology Group (ECOG) performance status of 0 to 2,{''}
1197,233,Subjects are capable of giving informed consent,{''}
1198,234,Expected survival time ≥3 months.,{''}
1199,235,Presenting with de quervain's tenosynovitis,"{""de que ##rva ##in ' s ten ##osy ##nov ##itis""}"
1200,237,"Abnormal neuromuscular transmission demonstrated by single fiber electromyography or repetitive nerve stimulation, or",{''}
1201,239,Moderate or severe anxiety and/or depression determined by the Beck Depression Inventory-II (BDI-II) and Beck Anxiety Inventory (BAI),{'anxiety depression'}
1202,241,All female participants of childbearing potential must a) have a negative highly sensitive serum beta-human chorionic gonadotropin (beta-hCG) pregnancy test at screening; b) have a negative urine beta-hCG pregnancy test immediately prior to each study vaccine administration,{''}
1203,242,"admitted at stroke unit of UZ Brussel,",{'stroke'}
1204,245,"Participant with a sufficient command of spoken and written French to take the assessments, complete the questionnaires, follow the program sessions and carry out the home exercises.",{''}
1205,246,Study partner who consents to study participation and who cares for/visits the participant daily for at least 5 hours per week.,{''}
1206,248,English-speaking (participant),{''}
1207,249,Radiological evidence of measurable disease by RECIST v1.1 criteria on CT with contrast or MRI of the areas of tumor involvement within 60 days of enrollment.,{'tumor'}
1208,250,"No anterior crossbite or open bite,",{'anterior cross ##bit ##e bite'}
1209,252,Weight \> 50 kg,{''}
1210,253,"If female, is not a participant of childbearing potential (POCBP); or if a POCBP, is not pregnant or breastfeeding, and is willing to use an acceptable contraceptive method or abstain from heterosexual intercourse for study duration","{'child, P, P, ##OC'}"
1211,255,Only for control group Absence optic nerve pathology (including primary open angle glaucoma),"{'op nerve path, primary open angle g ##lau ##com ##a'}"
1212,256,"Castration-resistant prostate cancer demonstrated during continuous androgen deprivation therapy (ADT), defined as 3 rises of PSA, at least 1 week apart with the last androgen deprivation therapy (PSA) \>= 2 nanogram per milliliters (ng/mL)",{'Cast ##ration - resistant pro ##state cancer'}
1213,258,ECOG Performance Status of 0-2 within 10 days prior to registration.,{''}
1214,259,"Patients with progressive, relapsed, or recurrent LCH with measurable disease at study entry",{'L ##CH'}
1215,261,"Postmenopausal, defined as 12 months of spontaneous amenorrhea or 6 months of spontaneous amenorrhea with serum follicle-stimulating hormone levels \> 40 mIU/mL or 6 weeks post-surgical bilateral oophorectomy.","{'am, ##eno ##rr ##hea, am, ##eno ##rr ##hea'}"
1216,263,admitted in NICU within 24 hours after birth;,{''}
1217,264,"Newly diagnosed Minnesota standard risk aGVHD with plasma amphiregulin ≥ 33 pg/ml tested at the UMN Cytokine Reference Lab. For amphiregulin lab ordering information, see Fairview Lab Guide http//labguide.fairview.org/showtest.asp?testid=6766\&format=long -OR-",{'a ##G ##V ##HD'}
1218,265,Age ≥60 years at the time of study registration (men and women eligible),{''}
1219,266,Requiring PS at least 3 days per week and maintains a stable PS volume for at least 2 weeks.,{'PS'}
1220,267,Diagnosed with end-stage kidney disease,{'end - stage kidney disease'}
1221,270,"ASA score of I-III,",{''}
1222,271,Subjects with confirmed WD bichromosomal ATP7B gene mutation or missing by laboratory testing.,{'W ##D'}
1223,272,Acute Myeloid Leukemia (AML) and related precursor neoplasms,"{'A, ##cute My ##elo ##id Le ##uke ##mia, AM ##L, neo ##p'}"
1224,275,Signing of the free and informed consent term by the patient or companion if the patient is unable to sign it (Annex 1).,{''}
1225,276,suffering from pain at the base of the thumb,{''}
1226,277,Histological confirmation of triple negative breast cancer of a metastatic lesion is recommended,{'triple negative breast cancer'}
1227,278,"have no visual or hearing impairment,",{'visual or hearing imp ##air ##ment'}
1228,281,Metastatic or advanced-stage malignant tumors confirmed histologically for whom no standard therapy is considered to be appropriate by the investigator,{''}
1229,285,"Prognostically important multivessel CAD (triple vessel CAD or double vessel disease including the left anterior descending (LAD) or LM). Significant coronary stenosis is defined as ≥ 70% based on coronary angiography, and/or fractional flow reserve (FFR) ≤0.80 or instantaneous wave-free ratio (iFR) ≤0.89. For LM disease, significant coronary stenosis is defined as \>50% based on coronary angiography, intravascular ultrasound (IVUS) minimal luminal area (MLA) ≤6.0 mm2 (\<4.5 mm2 Asian descent), or equivalent optical coherence tomography (OCT) measurements;","{'multi ##ves ##sel CA ##D, triple vessel CA ##D, double vessel disease the left anterior descending LA ##D, L ##M s, L ##M disease s'}"
1230,288,FibroScan-AST (FAST) score ≥ 0.30 within 24 months before enrollment;,{''}
1231,290,planned GCSF-mobilized peripheral blood stem cell transplant,{''}
1232,291,"Imaging consistent with T1-4, N0-2, M0 pancreas cancer, including potentially resectable, boarderline resectable, or unresectable disease as per NCCN classification. When CT of the chest, abdomen, and pelvis are performed, this must be with contras per pancreas protocol. Imagining with a PET/MRI alone is acceptable on study. If a PET/CT is performed, a separate pancreas protocol CT is required for inclusion.",{'pan ##cre ##as cancer'}
1233,292,Patient informed of the study and not opposed to participating in the research.,{''}
1234,293,"Subject did not receive the following drugs, or received the drugs with stable dosage for at least 28 days prior to the baseline (start of treatment) for RA treatment Non-steroidal anti-inflammatory drugs (NSAIDs; excluding topical formulations), oral morphine or equivalent opioid analgesics (≤ 30 mg/day), acetaminophen, or oral corticosteroids (≤ 10 mg/day in prednisolone equivalent).",{''}
1235,295,Adult subject aged 18 or over,{''}
1236,296,Chronic HBV infection for ≥ 6 months.,{''}
1237,298,Minimum Data for Retrospective Enrollment,{''}
1238,299,carrying only one baby (not twins or triplets),{''}
1239,300,Experienced ≥ 3 HAE attacks during the 3 months before Screening,{'H ##A ##E'}
1240,301,Are 18 years of age or older,{''}
1241,304,At screening subject has active RA as evidenced by all of the following,{'RA'}
1242,307,Eastern Cooperative Oncology Group (ECOG) Performance Status ≤ 1.,{''}
1243,308,Participant who completed 2 doses primary vaccinations with another specified mRNA vaccine which is available in Japan 6 to 12 months prior to the trial vaccination.,{''}
1244,309,Histologically- or cytologically-confirmed solid tumors (excluding lymphomas) that are metastatic or unresectable and that meet the following criteria,"{'solid tumors, l, ##ymph ##oma'}"
1245,310,Patients with prior exposure to ADC (either in the adjuvant setting or metastatic disease are allowed).,{''}
1246,311,-h OGTT value \< 140 mg/dl,{''}
1247,313,"Patient with localized endometrial cancer, presenting",{'localized end ##ome ##tri ##al cancer'}
1248,315,Eastern Cooperative Oncology Group (ECOG) performance status \< 4,{''}
1249,316,corrected distance visual acuity of 20/20 or better;,{''}
1250,318,dehydration,{''}
1251,319,Moderate to severe GL at maximum frown as assessed by the subject,{'G ##L'}
1252,321,Willing and able to provide consent for study participation for themselves and their infant prior to initiation of any study procedures,{''}
1253,322,Patient has signed study-specific informed consent form,{''}
1254,323,"Documented histopathology or cytopathology of PCa, adenocarcinoma;","{'PC ##a, ad, ##eno ##car ##cin ##oma'}"
1255,324,No prior systemic anti-cancer therapy for advanced ER+ disease,{''}
1256,325,Involuntary total body weight variation in the last 6 months \< 10%,{''}
1257,326,"Eastern Cooperative Oncology Group (ECOG) performance status 0,1 or 2",{''}
1258,327,Willingness to undergo \[18F\]F-AraG PET imaging at pre- and week 3 timepoints.,{''}
1259,328,"If clinical reports from the time of injury are available and Glasgow Coma Scale scores are available, then 13-15 is considered mild and 9-12 moderate. A clinical neurologist will review the de-identified OSU TBI forms for accuracy and confirm TBI severity.","{'OS ##U, T ##BI, T ##BI'}"
1260,331,"Relapsed after \> or = 3 lines of prior therapy that must include all approved and available therapies deemed eligible by the investigator, inclusing at a minimum of a proteasome inhibitor (PI), an immunomodulatory drug (IMiD), and, where approved and available, a CD38-directed cytolytic antibody in combination in the same line or separate lines of treatment OR refractory to PI, IMiD, and CD38- directed cytolytic antibody,",{''}
1261,332,Eastern Cooperative Oncology Group (ECOG) performance status 0 or 1;,{''}
1262,333,"patients with histologically or cytologically documented locally advanced, advanced, or first recurrent cervical cancer. For treatment-naive patients, 4) no previous cancer treatment including chemotherapy or radiotherapy; Patients with an initial recurrence had not received any other cancer treatment, including chemotherapy or radiotherapy, after the diagnosis of an initial recurrence before enrollment.","{'cancer, cancer'}"
1263,335,Fluent in English,{''}
1264,336,Have signed an IRB consent form agreeing to the terms of the study,{''}
1265,337,"The subjects are primary school graduates / graduates and above, and have the ability to complete the cognitive ability test and other tests specified in the program;",{''}
1266,338,non smoker,{''}
1267,340,"CD10-negative DLBCL, which includes",{'DL ##BC ##L'}
1268,342,Preoperative imaging examination showed L4-5 and L5-S1 responsible segment protrusion or protrusion leading to segment stenosis.,{'segment s ##ten ##osis'}
1269,343,"Patients with a ""targetable"", bidimensionally-measurable, intracranial lesion that is radiographically recurrent after previous treatment with SRS +/- surgery (craniotomy or LITT). To classify a lesion as radiographically progressive, the lesion must demonstrate a ≥ 25% increase in size following treatment based on the Neuro-Oncology Criteria of Tumor Response for CNS Tumors. To be ""targetable"" for this study, the lesion should be coverable through a planned single LITT trajectory and thus have a maximum perpendicular diameter (perpendicular to the laser trajectory) of 3 cm. An intra-operative decision to utilize two trajectories is acceptable and patient may remain on study.","{'in ##c ##al, C ##NS Tu ##mor'}"
1270,344,Must have a primary tumor and/or metastasis amenable for surgery (or tap as indicated).,{''}
1271,345,Total Clinical European League Against Rheumatism Sjogren's Syndrome Disease Activity Index (clinESSDAI) score greater than or equal to (\>=) 6,"{""S ##jo ##gren ' s S ##yn ##drome""}"
1272,346,Following treatment per A3973 protocol,{''}
1273,347,Arm B (first stage of phase II of TRC102 and pemetrexed) patients with malignant pleural or peritoneal mesothelioma who had progressed while being treated with or had recurred within 6 months of being treated with pemetrexed and cisplatin or carboplatin frontline; intervening treatment is allowed,"{'ma, ##li ##gnant p ##le ##ural or per ##ito ##nea ##l me ##so ##the ##lio ##ma'}"
1274,349,"Advanced histologically confirmed breast cancer that is ER+, PgR+, or both, and HER-2 normal;",{'breast cancer'}
1275,350,Smoking history of ≥10 pack-years,{''}
1276,351,"Existence of extrapancreatic organ damage (1) inflammatory bowel disease, (2) impairment of renal function, (3) repeated infection of mouth, skin, anus or whole body, (4) immune hepatitis, (5) persistent chronic immune iridocyclitis, (6) immune adrenalinitis leading to adrenocortical dysfunction, (7) pituitary inflammation leading to hypophysis, (8) rheumatoid disease, (9) immune vasculitis, (10) systemic lupus erythematosus, (11) other organs besides thyroid function damage. Suffering from one or more of above diseases. Recurrence after receiving regular clinical treatment, including symptomatic treatment of organ protective drugs.","{'extra ##pan ##cre ##atic organ, inflammatory bow ##el disease, imp ##air ##ment of re ##nal function infection of mouth , skin , an, immune he ##pa ##titis, chronic immune i ##rid ##oc ##y ##c ##lit ##is, immune ad ##rena ##lini ##tis, ad ##ren ##oc ##ort ##ical d ##ys ##function, pit ##uit ##ary inflammation, h ##y ##pop ##hy ##sis, r ##he ##uma ##to ##id disease, immune v ##as ##cu ##lit ##is, systemic l ##up ##us er ##yt ##hem ##ato ##sus'}"
1277,352,History or documentation of ticagrelor intake within the prior 3 days,{''}
1278,353,"Patient is receiving adjuvant therapy with an aromatase inhibitor (letrozole, anastrozole or exemestane), with or without a CDK4/6 inhibitor abemaciclib, for no more than 18 months,",{''}
1279,354,a. Active disease despite use of standard therapy (i) and one or more additional therapies (ii).,{''}
1280,355,average basal pain intensity (average 7 days) in the lumbar spine on NRS 0-10 ≥2.5,{''}
1281,356,Subjects can be enrolled as (1) TKI naïve or (2) after ≤ 8 weeks of first-line brigatinib treatment without disease progression.,{''}
1282,357,Patient is eligible for Tofacitinib treatment according to Summary of Product Characteristics (SmPC),{''}
1283,358,"Histologically proven, advanced high-grade osteosarcoma not suitable for local treatments with curative intent",{'o ##ste ##osa ##rc ##oma'}
1284,359,"Non-smoker and in good general health, as determined by medical screening evaluation, performed by PI or delegated sub-investigator no greater than 28 days before the first dose in the form of medical history, clinical laboratory tests and physical examination.",{''}
1285,361,"Confirmed by review of the electronic medical record (EMR) and subsequently recorded in Survivor Health History. In cases where the EMR isn't clear, their Oregon Health \&amp; Science University (OHSU) provider will be contacted for confirmation. For non-OHSU patients, we'll initially collect their cancer health history by a self-report questionnaire and confirm when we receive the survivor's outside medical record (through a signed Release of Information)",{'cancer'}
1286,362,T-DXd (DS-8201a)-naive disease,{''}
1287,363,have access to internet and a smart device with a camera and microphone.,{''}
1288,364,≤ 3 metastases in any non-bone organ system,{''}
1289,366,Subject meets the DSM-5 criteria for a primary diagnosis of schizophrenia.,{'s ##chi ##zophrenia'}
1290,367,Demonstrates comprehension of the protocol procedures and knowledge of the trial by passing a written comprehension examination (passing grade \> 70%).,{''}
1291,370,Patients in ASA II-III group,{''}
1292,371,Willingness to use adequate contraception to avoid pregnancy or impregnation for the duration of study participation; Note,{''}
1293,373,Available for the duration of the study,{''}
1294,374,"age greater than 18 years,",{''}
1295,375,Life expectancy of greater than 3 months,{''}
1296,376,Diagnostic and Statistical Manual of Mental Disorder-5 criteria for Alcohol Urge Questionnaire (moderate or severe defined as meeting 4 or more of the 11 criteria) AND a concurrent Diagnostic and Statistical Manual of Mental Disorder-5 recurrent unipolar major depression with HRSD-25 score of 18 or above.,"{'Al U of Mental Di ##sor ##der, un ##ip ##olar major depression'}"
1297,378,Subject has an arteriovenous fistulae (AVF) fistula that was determined to be mature by standard clinical definition,"{'art ##eri ##ove ##nous fist ##ula ##e, A ##V ##F ) fist ##ula'}"
1298,379,Age between 18-80 years old,{''}
1299,380,peripheral saturation (SpO2) strictly inferior to 90% and/or hypercapnic acidosis (pH strictly inferior to 7.35 and pCO2 strictly superior to 45mmHg) on arterial blood gases;,"{'h, ##yper ##cap ##nic acid ##osis'}"
1300,381,Electrocorticogram (ECOG) score ranges from 0 to 1 points;,{''}
1301,382,Hospitalized for acute exacerbation of COPD.,{''}
1302,384,Patient treated with furosemide at least 40 mg in the last 24 hours.,{''}
1303,385,Confirmed PD-L1 expression status (accepts PD-L1 expression test results confirmed by the investigator).,{''}
1304,386,"participants must be willing to use an electronic food diary and consume study provided foods,",{''}
1305,388,Patient with a current DSM-IV diagnosis of moderate or severe major depressive episode (MDE) without psychotic features (based on clinical assessment and confirmed by the MINI interview and the QIDS).,"{'major de ##pressive episode, MD ##E, ##ych'}"
1306,389,The mother has milk,{''}
1307,391,English speaking or Spanish speaking,{''}
1308,392,not seen outside the healthcare system,{''}
1309,394,Hemoglobin A1C less than 9.0%,{''}
1310,395,Bilateral ethmoid disease confirmed on CT,{''}
1311,396,Wants to quit cigarette smoking within the next 30 days (consistent with text messaging intervention trials),{''}
1312,398,scheduled for unilateral mastectomy without immediate breast reconstruction with or without axillary surgery (sentinel lymph node biopsy or axillary lymph node dissection),{''}
1313,399,Currently receiving methadone or buprenorphine treatment for OUD and considered to be stable on current dose for at least 30 days,{'O ##U ##D'}
1314,400,Can be retained to at least 1ml venous blood sample;,{''}
1315,402,Individuals who are normal healthy or have a diabetes diagnosis with a current HbA1c (glycated glucose)\< 7.0.,{'diabetes'}
1316,403,Participants with histologically confirmed diagnosis of a solid tumor (specifications for the different parts of the study below) will be enrolled onto this study,{'solid tumor'}
1317,404,Subjects without significant medical history and currently not on medications that might complicate the results,{''}
